lake,M1S1,M1S2,M1S3,M1S4,M1S5,M1S6,M1S7,M1S8,M2S1,M2S2,M2S3,M2S4,M2S5,M2S6,M2S7,M2S8,M3S1,M3S2,M3S3,M3S4,M3S5,M3S6,M3S7,M3S8,M4S1,M4S2,M4S3,M4S4,M4S5,M4S6,M4S7,M4S8,M5S1,M5S2,M5S3,M5S4,M5S5,M5S6,M5S7,M5S8,M6S1,M6S2,M6S3,M6S4,M6S5,M6S6,M6S7,M6S8
31231,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
89512,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
57310,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
4949,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
71083,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
845,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
100968,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
31895,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
79026,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
63824,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
21425,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
99516,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
89452,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
713,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
69525,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
89041,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
839,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
94711,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
22573,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
100025,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
750,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
19167,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
16730,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,3,4,4,0,0,0,0,0,4,4,4
777,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
