,lake,model,scenario,nbr_forcing_data,forcing_data_empty,hyspometry,daily_obs,init,input,par,calibration
97,Crystal_Lake,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
98,Crystal_Lake,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
99,Crystal_Lake,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
100,Crystal_Lake,MIROC5,piControl,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
101,Crystal_Lake,MIROC5,rcp26,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
102,Crystal_Lake,MIROC5,rcp60,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
103,Crystal_Lake,MIROC5,rcp85,6,0,Exist,Exist,Exist,Does not exist,Exist,Exist
104,Crystal_Lake,EWEMBI,historical,6,0,Exist,Exist,Exist,Exist,Exist,Exist
105,Crystal_Bog,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
106,Crystal_Bog,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
107,Crystal_Bog,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
108,Crystal_Bog,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
109,Crystal_Bog,GFDL-ESM2M,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
110,Crystal_Bog,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
111,Crystal_Bog,HadGEM2-ES,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
112,Crystal_Bog,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
113,Crystal_Bog,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
114,Crystal_Bog,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
115,Crystal_Bog,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
116,Crystal_Bog,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
117,Crystal_Bog,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
118,Crystal_Bog,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
119,Crystal_Bog,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
120,Crystal_Bog,MIROC5,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
121,Crystal_Bog,MIROC5,piControl,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
122,Crystal_Bog,MIROC5,rcp26,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
123,Crystal_Bog,MIROC5,rcp60,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
124,Crystal_Bog,MIROC5,rcp85,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
125,Crystal_Bog,EWEMBI,historical,6,0,Exist,Exist,Exist,Does not exist,Does not exist,Does not exist
126,Delavan,GFDL-ESM2M,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
127,Delavan,GFDL-ESM2M,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
128,Delavan,GFDL-ESM2M,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
129,Delavan,GFDL-ESM2M,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
130,Delavan,GFDL-ESM2M,rcp85,6,1,Exist,Exist,Exist,Does not exist,Exist,Does not exist
131,Delavan,HadGEM2-ES,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
132,Delavan,HadGEM2-ES,piControl,6,1,Exist,Exist,Exist,Does not exist,Exist,Does not exist
133,Delavan,HadGEM2-ES,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
134,Delavan,HadGEM2-ES,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
135,Delavan,HadGEM2-ES,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
136,Delavan,IPSL-CM5A-LR,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
137,Delavan,IPSL-CM5A-LR,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
138,Delavan,IPSL-CM5A-LR,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
139,Delavan,IPSL-CM5A-LR,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
140,Delavan,IPSL-CM5A-LR,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
141,Delavan,MIROC5,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
142,Delavan,MIROC5,piControl,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
143,Delavan,MIROC5,rcp26,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
144,Delavan,MIROC5,rcp60,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
145,Delavan,MIROC5,rcp85,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
146,Delavan,EWEMBI,historical,6,0,Exist,Exist,Exist,Exist,Exist,Does not exist
147,Falling_Creek,GFDL-ESM2M,historical,6,6,Does not exist,Does not exist,,,,Does not exist
148,Falling_Creek,GFDL-ESM2M,piControl,6,6,Does not exist,Does not exist,,,,Does not exist
149,Falling_Creek,GFDL-ESM2M,rcp26,6,6,Does not exist,Does not exist,,,,Does not exist
150,Falling_Creek,GFDL-ESM2M,rcp60,6,6,Does not exist,Does not exist,,,,Does not exist
151,Falling_Creek,GFDL-ESM2M,rcp85,6,6,Does not exist,Does not exist,,,,Does not exist
152,Falling_Creek,HadGEM2-ES,historical,6,6,Does not exist,Does not exist,,,,Does not exist
153,Falling_Creek,HadGEM2-ES,piControl,6,6,Does not exist,Does not exist,,,,Does not exist
154,Falling_Creek,HadGEM2-ES,rcp26,6,6,Does not exist,Does not exist,,,,Does not exist
155,Falling_Creek,HadGEM2-ES,rcp60,6,6,Does not exist,Does not exist,,,,Does not exist
156,Falling_Creek,HadGEM2-ES,rcp85,6,6,Does not exist,Does not exist,,,,Does not exist
157,Falling_Creek,IPSL-CM5A-LR,historical,6,6,Does not exist,Does not exist,,,,Does not exist
158,Falling_Creek,IPSL-CM5A-LR,piControl,6,6,Does not exist,Does not exist,,,,Does not exist
159,Falling_Creek,IPSL-CM5A-LR,rcp26,6,6,Does not exist,Does not exist,,,,Does not exist
160,Falling_Creek,IPSL-CM5A-LR,rcp60,6,6,Does not exist,Does not exist,,,,Does not exist
